seqnames	start	end	width	strand	gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	control_mean_psi	tdp43kd_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	lsv_junc	ir_start	ir_end	paste_into_igv_junction	junc_dist	strand_start	transcript_id_start	exon_name_start	exon_rank_start	gene_id_start	strand_end	transcript_id_end	exon_name_end	exon_rank_end	gene_id_end	gene_id_junc	junc_in_ref	junc_cat
chr14	68900737	68900862	126	-	ACTN1	ENSG00000072110.16	ENSG00000072110.16:s:68900862-68900946	0.4649	1	1.92e-20	0.0219	0.4817	s|1e1.1o3|1e1.2o3|1e1.3o3|1e2.1o1|1e3.1o1|i	6	4	1	ENSG00000072110.16:s:68900862-68900946_68900737-68900862	68900738	68900861	chr14:68900737-68900862	125						-	ENST00000684638.1|ENST00000682298.1|ENST00000683267.1	ENSE00003919727.1|ENSE00002493558.1	9	ENSG00000072110.16	ENSG00000072110.16	FALSE	novel_acceptor
chr14	68893747	68898004	4258	-	ACTN1	ENSG00000072110.16	ENSG00000072110.16:t:68893655-68893775	0.1698	1	2.902e-20	8e-04	0.1955	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|1e4.2o2|1e5.1o1|i	7	6	1	ENSG00000072110.16:t:68893655-68893775_68893747-68898004	NA	NA	chr14:68893747-68898004	4257	-	ENST00000394419.9|ENST00000682522.1|ENST00000684639.1|ENST00000683198.1|ENST00000683780.1|ENST00000684638.1|ENST00000684182.1|ENST00000683225.1|ENST00000682130.1|ENST00000682291.1|ENST00000682298.1|ENST00000682331.1|ENST00000682378.1|ENST00000682381.1|ENST00000683069.1|ENST00000683267.1|ENST00000684146.1|ENST00000684340.1|ENST00000684598.1|ENST00000193403.10|ENST00000438964.6|ENST00000679147.1|ENST00000376839.7|ENST00000682559.1|ENST00000538545.6|ENST00000683342.1|ENST00000555616.5|ENST00000556433.5|ENST00000554508.6	ENSE00000658753.1|ENSE00003920183.1|ENSE00002516477.1|ENSE00002481650.2	9|6|8|10	ENSG00000072110.16						ENSG00000072110.16	FALSE	novel_donor
chr14	68898231	68898332	102	-	ACTN1	ENSG00000072110.16	ENSG00000072110.16:t:68897670-68898231	0.2022	1	1.916e-09	0.0025	0.2214	t|1e1.1o1|2e1.1o1|i	3	2	1	ENSG00000072110.16:t:68897670-68898231_68898231-68898332	68898232	68900047	chr14:68898231-68898332	101												FALSE	none
chr2	219464668	219465595	928	+	SPEG	ENSG00000072195.15	ENSG00000072195.15:s:219464433-219464667	0.1239	0.7061	0.02096	0.0407	0.1662	s|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	0	ENSG00000072195.15:s:219464433-219464667_219464668-219465595	NA	NA	chr2:219464668-219465595	927												FALSE	none
chr2	219465786	219466057	272	+	SPEG	ENSG00000072195.15	ENSG00000072195.15:t:219466057-219466862	0.1697	0.9255	0.0009577	0.0162	0.1975	t|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000072195.15:t:219466057-219466862_219465786-219466057	NA	NA	chr2:219465786-219466057	271						+	ENST00000498378.5|ENST00000396698.5|ENST00000396688.5|ENST00000475921.1|ENST00000396686.5|ENST00000396689.2	ENSE00003547982.1|ENSE00001525951.1|ENSE00001525927.1|ENSE00001525924.1|ENSE00001552925.1	11|5|4	ENSG00000072195.15	ENSG00000072195.15	FALSE	novel_donor
chrX	111096737	111097390	654	+	PAK3	ENSG00000077264.16	ENSG00000077264.16:t:111097387-111097456	0.101	0.4978	0.07186	0.0424	0.1681	t|1e1.1o1|1e2.1o1	2	3	0	ENSG00000077264.16:t:111097387-111097456_111096737-111097390	NA	NA	chrX:111096737-111097390	653	+	ENST00000484442.5	ENSE00001844710.1	2	ENSG00000077264.16	+	ENST00000372007.10|ENST00000484442.5|ENST00000372010.5|ENST00000519681.5	ENSE00001432080.1	2|3	ENSG00000077264.16	ENSG00000077264.16	TRUE	annotated
chr17	50081193	50081310	118	+	ITGA3	ENSG00000005884.18	ENSG00000005884.18:t:50081310-50081408	0.1412	0.792	0.009868	0.0161	0.1681	t|1e1.1o1|1e2.1o1	2	3	0	ENSG00000005884.18:t:50081310-50081408_50081193-50081310	NA	NA	chr17:50081193-50081310	117	+	ENST00000504417.1	ENSE00002064621.1	2	ENSG00000005884.18	+	ENST00000505306.5|ENST00000320031.13|ENST00000007722.11|ENST00000504417.1	ENSE00003655266.1|ENSE00003459318.1|ENSE00002057990.1	21|23|3	ENSG00000005884.18	ENSG00000005884.18	TRUE	annotated
chr7	77929327	77940030	10704	+	PHTF2	ENSG00000006576.17	ENSG00000006576.17:s:77929109-77929327	0.1472	0.7802	0.01632	0.048	0.2019	s|1e1.1o1|1e2.1o1	2	3	0	ENSG00000006576.17:s:77929109-77929327_77929327-77940030	NA	NA	chr7:77929327-77940030	10703	+	ENST00000422959.7|ENST00000416283.6|ENST00000307305.12|ENST00000424760.5|ENST00000275575.11|ENST00000248550.7|ENST00000454592.5|ENST00000479515.1	ENSE00003610428.1|ENSE00003522330.1	11|12|10|7|4	ENSG00000006576.17	+	ENST00000422959.7|ENST00000416283.6|ENST00000307305.12|ENST00000424760.5|ENST00000275575.11|ENST00000248550.7|ENST00000479515.1	ENSE00001127284.3|ENSE00003672490.1|ENSE00003676283.1	13|14|12|5	ENSG00000006576.17	ENSG00000006576.17	TRUE	annotated
chr6	161153499	161166248	12750	-	AGPAT4	ENSG00000026652.15	ENSG00000026652.15:s:161165838-161166417	0.2647	0.9994	6.22e-07	0.0469	0.314	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000026652.15:s:161165838-161166417_161153499-161166248	NA	NA	chr6:161153499-161166248	12749	-	ENST00000320285.9|ENST00000366911.9|ENST00000436279.1	ENSE00003487542.1|ENSE00003549785.1|ENSE00003545173.1	5|4	ENSG00000026652.15	-	ENST00000320285.9|ENST00000436279.1|ENST00000624499.2	ENSE00003578831.1|ENSE00003894870.1	3|2	ENSG00000026652.15	ENSG00000026652.15	FALSE	novel_exon_skip
chr6	161153499	161166248	12750	-	AGPAT4	ENSG00000026652.15	ENSG00000026652.15:t:161153346-161153499	0.2917	0.9998	2.073e-07	0.0491	0.3393	t|1e1.1o1|1e2.1o1	2	3	1	ENSG00000026652.15:t:161153346-161153499_161153499-161166248	NA	NA	chr6:161153499-161166248	12749	-	ENST00000320285.9|ENST00000366911.9|ENST00000436279.1	ENSE00003487542.1|ENSE00003549785.1|ENSE00003545173.1	5|4	ENSG00000026652.15	-	ENST00000320285.9|ENST00000436279.1|ENST00000624499.2	ENSE00003578831.1|ENSE00003894870.1	3|2	ENSG00000026652.15	ENSG00000026652.15	FALSE	novel_exon_skip
chr2	3257560	3261714	4155	-	EIPR1	ENSG00000032389.13	ENSG00000032389.13:t:3257299-3257559	0.1005	0.5072	0.05514	6e-04	0.131	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|i	6	6	1	ENSG00000032389.13:t:3257299-3257559_3257560-3261714	NA	NA	chr2:3257560-3261714	4154												FALSE	none
chr17	42660362	42660639	278	+	TUBG2	ENSG00000037042.9	ENSG00000037042.9:s:42660149-42660362	0.105	0.5341	0.05952	0.0037	0.1345	s|1e1.1o1|2e1.1o1	2	2	0	ENSG00000037042.9:s:42660149-42660362_42660362-42660639	NA	NA	chr17:42660362-42660639	277	+	ENST00000590396.1	ENSE00002836695.1	1	ENSG00000037042.9	+	ENST00000251412.8|ENST00000588870.1|ENST00000590396.1	ENSE00003692168.1|ENSE00003468491.1|ENSE00002901112.1	4|3|2	ENSG00000037042.9	ENSG00000037042.9	TRUE	annotated
chr5	14489097	14492567	3471	+	TRIO	ENSG00000038382.23	ENSG00000038382.23:s:14488448-14489165	0.1252	0.7269	0.009473	0.0017	0.1525	s|1e2.1o1|2e1.1o1|2e2.1o1|3e2.1o1|i	5	3	1	ENSG00000038382.23:s:14488448-14489165_14489097-14492567	NA	NA	chr5:14489097-14492567	3470						+	ENST00000344204.9|ENST00000512070.6|ENST00000513206.5|ENST00000698542.1|ENST00000344135.5	ENSE00003615347.1|ENSE00003612645.1|ENSE00003973959.1	49|45|18|2	ENSG00000038382.23	ENSG00000038382.23	FALSE	novel_donor
chr10	3099352	3099557	206	+	PFKP	ENSG00000067057.19	ENSG00000067057.19:s:3099275-3099352	0.1626	0.8971	0.002731	0.0121	0.1929	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000067057.19:s:3099275-3099352_3099352-3099557	NA	NA	chr10:3099352-3099557	205	+	ENST00000607886.5|ENST00000699222.1|ENST00000381125.9|ENST00000381075.7|ENST00000678206.1|ENST00000678089.1|ENST00000676796.1|ENST00000421751.1|ENST00000407806.2	ENSE00003709765.1|ENSE00003703229.1	3|4	ENSG00000067057.19						ENSG00000067057.19	FALSE	novel_acceptor
chr10	3099819	3101365	1547	+	PFKP	ENSG00000067057.19	ENSG00000067057.19:t:3101365-3101554	0.1442	0.809	0.009046	0.0079	0.1719	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000067057.19:t:3101365-3101554_3099819-3101365	NA	NA	chr10:3099819-3101365	1546						+	ENST00000607886.5|ENST00000699222.1|ENST00000381125.9|ENST00000381075.7|ENST00000678206.1|ENST00000678089.1|ENST00000676796.1|ENST00000421751.1|ENST00000407806.2	ENSE00003785562.1|ENSE00003705651.1	4|5|6	ENSG00000067057.19	ENSG00000067057.19	FALSE	novel_donor
chr5	172057474	172061138	3665	-	STK10	ENSG00000072786.13	ENSG00000072786.13:s:172061139-172061630	0.1668	0.8762	0.005419	0.0067	0.2022	s|1e1.1o1|i	2	2	1	ENSG00000072786.13:s:172061139-172061630_172057474-172061138	NA	NA	chr5:172057474-172061138	3664												FALSE	none
chr19	43561020	43575408	14389	-	XRCC1	ENSG00000073050.12	ENSG00000073050.12:s:43575408-43575563	0.1173	0.5933	0.04905	0.007	0.1478	s|1e1.1o1|1e2.1o1	2	3	0	ENSG00000073050.12:s:43575408-43575563_43561020-43575408	NA	NA	chr19:43561020-43575408	14388	-	ENST00000262887.10|ENST00000543982.5|ENST00000595789.5|ENST00000598165.5|ENST00000599693.5|ENST00000594374.1	ENSE00003608314.1|ENSE00003592305.1|ENSE00003550620.1	3|2	ENSG00000073050.12|ENSG00000268361.1	-	ENST00000262887.10|ENST00000543982.5|ENST00000595789.5|ENST00000594107.1|ENST00000594511.1	ENSE00003903235.1|ENSE00002306183.1|ENSE00003219084.1|ENSE00003161848.1	1	ENSG00000073050.12	ENSG00000073050.12|ENSG00000268361.1	TRUE	annotated
chr12	124862497	124863595	1099	-	SCARB1	ENSG00000073060.17	ENSG00000073060.17:s:124863595-124863968	0.1443	0.702	0.02725	0.0121	0.1937	s|1e1.1o1|1e2.1o1	2	3	0	ENSG00000073060.17:s:124863595-124863968_124862497-124863595	NA	NA	chr12:124862497-124863595	1098	-	ENST00000680982.1	ENSE00002212018.1	2	ENSG00000073060.17	-	ENST00000261693.11|ENST00000339570.9|ENST00000680596.1|ENST00000680982.1|ENST00000680556.1|ENST00000680926.1|ENST00000681686.1|ENST00000679605.1|ENST00000415380.6|ENST00000681117.1|ENST00000538291.5|ENST00000546215.5|ENST00000539320.3|ENST00000545493.1	ENSE00001329956.6|ENSE00001776437.2|ENSE00003912026.1|ENSE00002271343.1|ENSE00003911292.1|ENSE00003910220.1|ENSE00003914367.1|ENSE00002205503.1|ENSE00003483952.1|ENSE00002311475.1|ENSE00003910655.1|ENSE00003539399.1	1	ENSG00000073060.17	ENSG00000073060.17	TRUE	annotated
chr12	124817707	124862380	44674	-	SCARB1	ENSG00000073060.17	ENSG00000073060.17:t:124817550-124817707	0.1155	0.5901	0.04862	0.0108	0.1627	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0	ENSG00000073060.17:t:124817550-124817707_124817707-124862380	NA	NA	chr12:124817707-124862380	44673	-	ENST00000261693.11|ENST00000339570.9|ENST00000680596.1|ENST00000680982.1|ENST00000680556.1|ENST00000680926.1|ENST00000681686.1|ENST00000679605.1|ENST00000415380.6|ENST00000681117.1|ENST00000538291.5|ENST00000546215.5|ENST00000535005.5|ENST00000544327.1|ENST00000539320.3|ENST00000545493.1|ENST00000541661.5	ENSE00003673083.1|ENSE00003651851.1|ENSE00003608722.1	2|3|1	ENSG00000073060.17	-	ENST00000680982.1	ENSE00002212018.1	2	ENSG00000073060.17	ENSG00000073060.17	TRUE	annotated
chr17	67025001	67030465	5465	+	CACNG4	ENSG00000075461.6	ENSG00000075461.6:s:67024860-67025000	0.1747	0.9479	0.000264	0.0476	0.2214	s|1e1.1o1|i	2	2	1	ENSG00000075461.6:s:67024860-67025000_67025001-67030465	NA	NA	chr17:67025001-67030465	5464												FALSE	none
chr18	62916601	62919959	3359	+	PHLPP1	ENSG00000081913.14	ENSG00000081913.14:t:62919959-62920114	0.1522	0.8765	0.002495	0.0021	0.1784	t|1e1.1o1|1e2.1o1	2	3	1	ENSG00000081913.14:t:62919959-62920114_62916601-62919959	NA	NA	chr18:62916601-62919959	3358						+	ENST00000262719.10|ENST00000591386.1|ENST00000591106.1	ENSE00003691051.1|ENSE00003662207.1	10|4|3	ENSG00000081913.14	ENSG00000081913.14	FALSE	novel_donor
chr11	44600231	44604427	4197	+	CD82	ENSG00000085117.12	ENSG00000085117.12:s:44600158-44600230	0.1111	0.5986	0.03355	0.0045	0.1403	s|1e1.1o1|i	2	2	1	ENSG00000085117.12:s:44600158-44600230_44600231-44604427	NA	NA	chr11:44600231-44604427	4196												FALSE	none
chr2	217807251	217808075	825	-	TNS1	ENSG00000079308.21	ENSG00000079308.21:s:217808075-217808107	0.249	1	2.64e-20	3e-04	0.2636	s|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000079308.21:s:217808075-217808107_217807251-217808075	217807252	217808074	chr2:217807251-217808075	824						-	ENST00000646520.1|ENST00000171887.8|ENST00000705226.1|ENST00000682258.1|ENST00000651849.1|ENST00000446688.5|ENST00000615025.6|ENST00000490566.1|ENST00000419504.6	ENSE00003539997.1|ENSE00003525574.1	32|33|14|30|7|31	ENSG00000079308.21	ENSG00000079308.21	FALSE	novel_acceptor
chr2	217807252	217808074	823	-	TNS1	ENSG00000079308.21	ENSG00000079308.21:s:217808075-217808107	0.235	1	2.688e-20	0.0348	0.2558	s|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000079308.21:s:217808075-217808107_217807252-217808074	NA	NA	chr2:217807252-217808074	822												FALSE	none
chr2	217804603	217807205	2603	-	TNS1	ENSG00000079308.21	ENSG00000079308.21:t:217799588-217804603	0.1345	0.8299	4.553e-10	2e-04	0.1551	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	1	ENSG00000079308.21:t:217799588-217804603_217804603-217807205	NA	NA	chr2:217804603-217807205	2602	-	ENST00000646520.1|ENST00000171887.8|ENST00000705226.1|ENST00000682258.1|ENST00000651849.1|ENST00000446688.5|ENST00000615025.6|ENST00000490566.1|ENST00000419504.6	ENSE00003821696.1|ENSE00001074888.5|ENSE00003922069.1|ENSE00003842698.1|ENSE00001806761.1|ENSE00003717281.1|ENSE00001852205.1|ENSE00001734230.1	33|34|15|31|8|32	ENSG00000079308.21						ENSG00000079308.21	FALSE	novel_donor
chr2	217804604	217807204	2601	-	TNS1	ENSG00000079308.21	ENSG00000079308.21:t:217799588-217804603	0.2528	1	2.64e-20	0.0348	0.2752	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	1	ENSG00000079308.21:t:217799588-217804603_217804604-217807204	NA	NA	chr2:217804604-217807204	2600												FALSE	none
chr18	5406968	5410566	3599	-	EPB41L3	ENSG00000082397.18	ENSG00000082397.18:s:5410566-5410619	0.192	0.999	3.858e-16	0.0323	0.2094	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|i	5	5	0	ENSG00000082397.18:s:5410566-5410619_5406968-5410566	NA	NA	chr18:5406968-5410566	3598	-	ENST00000544123.5|ENST00000342933.7|ENST00000542652.6|ENST00000341928.7|ENST00000400111.8|ENST00000637651.1|ENST00000540638.6|ENST00000545076.5|ENST00000578524.5|ENST00000581292.5|ENST00000581387.5|ENST00000579271.5|ENST00000580647.5|ENST00000580316.5|ENST00000578196.5|ENST00000582729.5|ENST00000578395.1	ENSE00003465054.1|ENSE00003678792.1|ENSE00002695658.1|ENSE00002689642.1	15|10|16|11|14|3|2|5|4	ENSG00000082397.18	-	ENST00000544123.5|ENST00000342933.7|ENST00000542652.6|ENST00000341928.7|ENST00000400111.8|ENST00000637651.1|ENST00000540638.6|ENST00000545076.5|ENST00000578524.5|ENST00000581387.5|ENST00000579271.5|ENST00000580647.5|ENST00000580316.5|ENST00000578196.5|ENST00000582729.5|ENST00000578395.1	ENSE00003616370.1|ENSE00003478270.1	13|9|14|15|2|3	ENSG00000082397.18	ENSG00000082397.18	TRUE	annotated
chr18	5406968	5410566	3599	-	EPB41L3	ENSG00000082397.18	ENSG00000082397.18:t:5406765-5407328	0.1556	0.9999	3.78e-10	0.0288	0.1845	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|2e4.2o2|i	6	5	0	ENSG00000082397.18:t:5406765-5407328_5406968-5410566	NA	NA	chr18:5406968-5410566	3598	-	ENST00000544123.5|ENST00000342933.7|ENST00000542652.6|ENST00000341928.7|ENST00000400111.8|ENST00000637651.1|ENST00000540638.6|ENST00000545076.5|ENST00000578524.5|ENST00000581292.5|ENST00000581387.5|ENST00000579271.5|ENST00000580647.5|ENST00000580316.5|ENST00000578196.5|ENST00000582729.5|ENST00000578395.1	ENSE00003465054.1|ENSE00003678792.1|ENSE00002695658.1|ENSE00002689642.1	15|10|16|11|14|3|2|5|4	ENSG00000082397.18	-	ENST00000544123.5|ENST00000342933.7|ENST00000542652.6|ENST00000341928.7|ENST00000400111.8|ENST00000637651.1|ENST00000540638.6|ENST00000545076.5|ENST00000578524.5|ENST00000581387.5|ENST00000579271.5|ENST00000580647.5|ENST00000580316.5|ENST00000578196.5|ENST00000582729.5|ENST00000578395.1	ENSE00003616370.1|ENSE00003478270.1	13|9|14|15|2|3	ENSG00000082397.18	ENSG00000082397.18	TRUE	annotated
chr20	3344699	3348525	3827	-	DNAAF9	ENSG00000088854.13	ENSG00000088854.13:s:3348525-3348623	0.2574	0.9972	3.863e-06	0.002	0.292	s|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000088854.13:s:3348525-3348623_3344699-3348525	3344700	3348524	chr20:3344699-3348525	3826						-	ENST00000252032.10	ENSE00000990617.1	8	ENSG00000088854.13	ENSG00000088854.13	FALSE	novel_acceptor
chr20	3343731	3344641	911	-	DNAAF9	ENSG00000088854.13	ENSG00000088854.13:t:3343676-3343731	0.2238	0.985	6.531e-05	0.002	0.2568	t|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000088854.13:t:3343676-3343731_3343731-3344641	NA	NA	chr20:3343731-3344641	910	-	ENST00000252032.10	ENSE00000990618.1	9	ENSG00000088854.13						ENSG00000088854.13	FALSE	novel_donor
chr17	78214789	78215966	1178	+	BIRC5	ENSG00000089685.15	ENSG00000089685.15:s:78214680-78215099	0.1565	0.7889	0.01494	0.0291	0.1993	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e1.1o1	5	5	0	ENSG00000089685.15:s:78214680-78215099_78214789-78215966	NA	NA	chr17:78214789-78215966	1177	+	ENST00000301633.8|ENST00000350051.8|ENST00000590925.6|ENST00000374948.6|ENST00000592734.5|ENST00000592115.5|ENST00000586192.5|ENST00000587746.5	ENSE00003498592.1|ENSE00003494632.1	2	ENSG00000089685.15	+	ENST00000301633.8|ENST00000592115.5|ENST00000586192.5|ENST00000587746.5|ENST00000591800.1	ENSE00003504960.1|ENSE00002866907.1|ENSE00002934665.1|ENSE00003638220.1	3	ENSG00000089685.15	ENSG00000089685.15	TRUE	annotated
chr17	35017607	35021370	3764	-	RFFL	ENSG00000092871.17	ENSG00000092871.17:s:35021371-35021411	0.1202	0.6264	0.03892	0.0452	0.193	s|1e1.1o1|1e2.1o1|i	3	3	1	ENSG00000092871.17:s:35021371-35021411_35017607-35021370	NA	NA	chr17:35017607-35021370	3763												FALSE	none
chr17	35017607	35021370	3764	-	RFFL	ENSG00000092871.17	ENSG00000092871.17:t:35017523-35017606	0.1106	0.5804	0.0489	0.0409	0.1816	t|1e1.1o1|1e2.1o1|1e3.1o1|i	4	4	1	ENSG00000092871.17:t:35017523-35017606_35017607-35021370	NA	NA	chr17:35017607-35021370	3763												FALSE	none
chr9	128952846	128956141	3296	+	NUP188	ENSG00000095319.14	ENSG00000095319.14:s:128952773-128952895	0.3344	1	4.577e-11	0.0025	0.3544	s|1e1.1o1|1e2.1o1	2	3	1	ENSG00000095319.14:s:128952773-128952895_128952846-128956141	NA	NA	chr9:128952846-128956141	3295	+	ENST00000482796.1|ENST00000372577.2|ENST00000491990.5|ENST00000550219.1	ENSE00003464331.1|ENSE00003631390.1|ENSE00003604892.1	3	ENSG00000251184.1|ENSG00000095319.14						ENSG00000251184.1|ENSG00000095319.14	FALSE	ambig_gene
chr9	128956174	128956350	177	+	NUP188	ENSG00000095319.14	ENSG00000095319.14:t:128956350-128956434	0.57	1	1.536e-20	0.0025	0.582	t|1e1.1o1|1e2.1o1	2	3	1	ENSG00000095319.14:t:128956350-128956434_128956174-128956350	NA	NA	chr9:128956174-128956350	176						+	ENST00000482796.1|ENST00000372577.2|ENST00000491990.5|ENST00000550219.1	ENSE00003691779.1|ENSE00003557176.1|ENSE00003481338.1	4	ENSG00000251184.1|ENSG00000095319.14	ENSG00000251184.1|ENSG00000095319.14	FALSE	ambig_gene
